Comment,Target³,Topic³,Attack-Defend³,Violence³,Hate speech³
"Soy más antiperoncho del mundo aún no reanudo relación con parte de la familia por discutir de política, pero como persona grande que soy solo digo una cosa y ojo para los que me caigan a patadas SOY ANTIKA a muerte los odio. Pero en este país los platos rotos, las fiestas de los políticos y los ajustes los pagamos siempre nosotros. Los Giles que laburamos. Veremos qué pasa. Yo ya estoy desesperanzado no me alcanza con que no roben más, quiero vivir dignamente y no pagar la recomposición del país con mi bolsillo. Si no sale la ley de extinción de dominio primero todo lo que hagas Miley va a se para que crea q SOS como todos",Group,"Policy, Ideology",Neither,No,No
"Subieron dos veces lo mismo? Milei es un ridículo, un cipayo, un arrastrado y un payaso, la calle virtual son un par de venecos y gordos multicuenta qué cobran un sueldo para poner ""eso mismo vote"" no se puede ser más patético, ni me imagino cuando les preguntan de que trabajan qué responden.",Individual,Ideology,Attacking,Yes,Yes
"Sueñan con Milei, pobres kukas quedaron tontitos, ahora sí ya no hay nadie que les cure la enfermedad mental que tienen 😔",Group,Ideology,Attacking,Yes,Yes
"Tipo grande discute con minas a las que le dobla la edad. ""Lo peor de tener un presidente que sea mogolico es tener gente a tu alrededor que parece olvidarse cada 5 minutos que el presidente es mogolico. ""Ay ¿viste lo que hizo?¿como va a hacer eso?"". Porque es mogolico. Ya tuvimos esta conversacion varias veces. El presidente es mogolico.""",Individual,Ideology,Attacking,Yes,No
"TODOS LOS SUBNORMALES QUE LO VOTARON AHORA SE RIEN AQUI COMO SI NO TUVIESEN NINGUNA RESPONSABILIDAD, ESTE PAIS ES FLIPANTE",Group,Ideology,Attacking,Yes,No
"Tranquilos amigos, tenemos una tercera opción. Todavía podemos votar a Milei /s",Individual,Ideology,Attacking,No,No
Tuvimos un okay primer año. Lastima que ahora Milei se haya puesto full retrasado,Individual,Ideology,Attacking,No,No
Un Milei salvaje? JAJAJAJAJAJAJA que mediocre todo. No se da cuenta que lo están usando? que triste necesidad de atención que tiene.,Individual,Ideology,Attacking,No,No
"Una cagada porque una vez mas demuestran falta de seriedad, no se si entienden lo delicado de la situación para la Argentina y no solo actual, sino a futuro. Si hacen mal las cosas empieza a girar la rueda peroncha de nuevo. Otra cosa, un asco los kukardos que salieron de abajo de una piedra, gente que defendió a Alberto comentando acá como si lo hubieran enganchado al mongo del presi revoleando bolsos con guita en un convento.",Group,"Policy, Ideology",Attacking,Yes,No
"vamooooooooooooooooooooooooooooooooooooooo, que se pudran , que se pudran esos ... peronchos olor a culo, hdps asco dan asco, roban patotean, persiguen ideologicamente, atacan , y ni con toda la campaña inmunda del miedo pudieron dar vuelta  el resultado, peronchos asquerosos, vamoooooooooooooooo",Group,"Ideology, Policy",Attacking,Yes,Yes
Vamos Milei! Felicitaciones!  Capo!,Individual,Ideology,Defending,No,No
VASTA MILEY!!!!1uno,Individual,Ideology,Neither,No,No
"vergüenza ajena, pobres argentinos que los gobierna un títere.",Individual,Ideology,Attacking,No,No
son unos hijos de puta pelotudos estos kukas,Group,Ideology,Attacking,Yes,Yes
milei deberia aprender cuando callarse,Individual,Ideology,Neither,No,No
