Comment,Target²,Topic²,Attack-Defend²,Violence²,Hate speech²
"Juicio político al perejil de Milei por Twitear una estafa pero no a los otros que los estafaron por años sin twitear nada, son pelotudos",Group,Ideology,Attacking,Yes,No
"Kukitas lloronas llorando, que lindo jajaja me mueeee 🤣🤣🤣",Group,Ideology,Attacking,Yes,Yes
La gimnasia mental que van a hacer los liberbobos para justificar esto...que bronca me da haberme distanciado de amigos por este imbecil y los patrones que le lavaron la cabeza a medio pais,Group,Ideology,Attacking,Yes,Yes
"La más chistoso es que desde una perspectiva libertaria, como tanto pregona Milei y que sus estúpidos seguidores apoyan, esto sería el resultado de un mercado 100% libre y sin regulación. Ahora que les han estafado, pedirán a papi gobierno que intervenga y haga justicia, el mismo gobierno que todos los libertarios dicen que debería desaparecer. Honestamente, ya es 2025 y si a alguien le paso, le deberían de escribir en la frente la palabra ""pelotudo"" o ""imbecil"", porque ya vivimos esto hace como 5 años y no puede ser que haya quienes aún caen en esto.",Group,"Policy, Ideology",Attacking,Yes,Yes
"La puta madre, que chapa esta milei, pero cuanta razon tiene.",Individual,Ideology,Defending,Yes,No
"Le llevaba un kilo de huesos de pollo a mi vieja para que me haga milanesas y no se la hacía tan difícil como Milei y su círculo de nabos, a los que intentan ayudarlo un poco.",Group,Ideology,Attacking,Yes,No
"Lo banco a Milei, quiero que siga y que le vaya bien, pero es terrible descanso esto. Que desinstale Twitter de una vez por todas. O que le metan un shadowban y que Twitee para el mismo.",Individual,Ideology,Neither,No,No
Lo banco al milei y todo pero estaría bueno que recuerde que es un presidente y como que no da para ir de escenario en escenario como si fuese un showman o peor aun; como un cameo durante el espectáculo de un showman. Y esa relación asimétrica que tiene con Elon se hace un poco incómoda de ver para el mandatario de un país.,Individual,"Ideology, Policy",Neither,No,No
Lo que más me sorprende es leer la cantidad de párrafos y párrafos de gente justificando que dos garcas levantaron números falopa de una cuenta falopa de twitter para reforzar su relato. Y lo peor es que no son cualquier garca: son presidente y ministro de economía de un país.,Individual,"Ideology, Policy",Neither,No,No
"Lo unico malo de todo esto es que cuando las cosas se empiecen a arreglar, esos 10 millones de hijos de puta que votaron a grassa van a vivir mejor.",Group,Ideology,Attacking,Yes,Yes
"Los kukas están compartiendo esto como si fuera algo malo, cuál se supone que es el problema que lo asesoren en una entrevista grabada?",Group,Ideology,Neither,Yes,No
Make argentina great again,Group,Ideology,Defending,No,No
massa hdp seguís siendo ministro hasta que asuma no te hagás el boludo,Individual,Ideology,Attacking,Yes,Yes
Massa no puede ser tan HIJO DE PUTA,Individual,Ideology,Attacking,Yes,Yes
"Me encanta lo calladita que está la yegua. De haber ganado Massa, estaría felicitándolo en Instagram. Su frase ""Si no les gusta el gobierno que armen un partido político y ganen"" le explotó en la cara a la yegua. Tiemblen casta y ñoquis del Estado Ejecutivo/Ministerios, vayan buscando trabajo corruptos derrochadores. Lamentablemente la yegua y albertito seguirán cobrando sus pensiones millonarias mientras sus votantes polenteros son pobres.",Individual,"Sexuality, Ideology",Attacking,Yes,Yes
"Me encantaría saber cuántos de acá estuviesen conformes con ver esos porcentajes si hubiese ganado Massa. Cuántos no cuestionarian los números, dirían que son falsos, teniendo en cuenta los aumentos que hay en todos los rubros.",Group,"Policy, Ideology",Neither,No,No
"me estas jodiendo. el tipo mas irresponsable, estupido e inutil del mundo. Yo no presidente, persona idiota top a nivel mundial.",Individual,Ideology,Attacking,Yes,Yes
"Me parece re mal que Lali le haga buling al minusválido mental, que se meta con alguien de su tamaño.",Individual,Ideology,Attacking,Yes,Yes
"Mientras massa se bajo del barco jaja, otras ratas en breve haran lo mismo . Se imaginan si alberso tambien y queda  cfk a la cabeza de todo este derrumbe? Xd",Individual,Ideology,Attacking,Yes,No
Milei es la representación de qué pasaría si un tuitero tuviera mayor poder más allá del escribir pelotudeces en una red social,Individual,Ideology,Neither,No,No
"Milei es pedante, delirante, tiene un planteo económico q se abandono hace mas de 100 años y no entiende el funcionamiento de una república.  Pero massa de alguna forma es todavia peor jajajajaja Q pais!!!",Individual,"Policy, Ideology",Attacking,No,No
"Nadie está más hasta los huevos que Milei. Llegar a la presidencia va a ser lo más fácil. Que ahora disfrute, pero estos hdmp desde mañana van a destrozar todo",Group,"Policy, Ideology",Attacking,Yes,Yes
"nadie se entero loquito, si te la pasas posteando pelotudeces y invitando gays a comer, que una semana antes defenestraste. sos impresentable, el peor presidente de la historia, al ladito de alberto, porque no vas a terapia javo? trata ese asperberg, estas muy limado",Individual,"Sexuality, Ideology",Attacking,Yes,Yes
Ni a palo voto al hdp de Massa,Individual,Ideology,Attacking,Yes,Yes
"No estoy muy metido en la política, quiero saber porque gano Vidal? hizo mucho?. lo poco que veo de ella me parece repelente, falso y cínico.",Individual,"Policy, Ideology",Neither,No,No
"no lo enfocan nunca pero notaron que milei camina como si tuviera el culo roto! tiene algun problema en las piernas, la cadera o esta paspado?",Individual,Sexuality,Attacking,Yes,Yes
"ZURDOS Y KAKAS A KOMER POLENTA SIN TUKO !!! VIVAN LOS DOLARES LA PUTA MADRE, VIVA LA PATRIA",Group,Ideology,Attacking,Yes,Yes
Ojalá el hdrmp de Massa deje de robar parasitando al estado y se busque un laburo de verdad porque el panqueque ni para candidato consuelo sirve (ya perdió varias elecciones).,Individual,Ideology,Attacking,Yes,No
Pa amigo la vara bajísima tienen. Cuando van a elegir a un liberal como alem siempre mamarrachos. Y mira que había que superar a Alberto. Pero bueno la consecuencia de encontrar presi por tik tok,Group,"Policy, Ideology",Attacking,No,No
"Pensar que nos queda 3 años de esto es grandioso, digo, 4 años de puro humo financiero especulativo y memes tienen que demostrar que el capitalismo financiero es malo para la Argentina y si vas a ser libertarado, por lo menos se libertarado de capitalismo industrial como el trompas. Pero no la ven...",Group,"Ideology, Policy",Attacking,Yes,Yes
